Bureau of Justice Statistics,,,,,,,,,,
Filename: cv22luss1719at01.csv,,,,,,,,,,
"Appendix table 1. Estimates and standard errors for figure 1: Rate of violent victimization per 1,000 persons age 12 or older in the 22 largest states, 2017–19",,,,,,,,,,
"Report title: Criminal Victimization in the 22 Largest U.S. States, 2017–2019  NCJ 305402",,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Crime Victimization Survey, Restricted-use data, 2017–19",,,,,,,,,,
"Authors: Grace Kena, MPP, and Rachel E. Morgan, PhD, BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 3/6/2023,,,,,,,,,,
 ,,,,,,,,,,
"Appendix table 1. Estimates and standard errors for figure 1: Rate of violent victimization per 1,000 persons age 12 or older in the 22 largest states, 2017–19",,,,,,,,,,
,,"Rate per 1,000",,,,95% confidence interval,,,Number,
State,,Estimate,,Standard error/a,,Lower bound,Upper bound,,Estimate,Standard error/a
,United States*,21.6,,0.6,,20.42,22.78,,"5,937,000","165,100"
Arizona,,36.8, †,4.99,,27.03,46.59,,"220,300","29,870"
California,,22.4,,1.93,,18.64,26.18,,"745,600","63,880"
Colorado,,45, †,4.49,,36.21,53.83,,"215,700","21,250"
Florida,,13.2, †,1.62,,10.01,16.35,,"240,000","29,460"
Georgia,,11.5, †,1.8,,7.93,14.97,,"99,880","15,710"
Illinois,,19.8,,3.18,,13.53,26.01,,"211,900","34,060"
Indiana,,27.5,,3.74,,20.16,34.82,,"153,200","20,850"
Maryland,,21.1,,3.49,,14.2,27.9,,"107,400","17,810"
Massachusetts,,20.5,,5.37,,9.94,30.98,,"121,500","31,870"
Michigan,,21.1,,2.81,,15.56,26.56,,"178,700","23,790"
Minnesota,,20.8,,1.75,,17.38,24.22,,"97,660","8,200"
Missouri,,21.5,,2.37,,16.87,26.17,,"110,400","12,170"
New Jersey,,7.7, †,1.34,,5.11,10.35,,"58,850","10,160"
New York,,15.7, †,2.24,,11.25,20.05,,"262,500","37,610"
North Carolina,,13.3, †,2.06,,9.28,17.34,,"116,000","17,980"
Ohio,,23.6,,2.38,,18.97,28.31,,"232,300","23,410"
Pennsylvania,,21.8,,2.57,,16.81,26.87,,"238,000","27,970"
Tennessee,,25.4,,3.79,,18.01,32.85,,"144,500","21,500"
Texas,,18.3, ‡,1.83,,14.69,21.85,,"426,300","42,650"
Virginia,,15.4, †,1.83,,11.78,18.96,,"110,200","13,160"
Washington,,36.8, †,4.3,,28.35,45.19,,"233,500","27,150"
Wisconsin,,22.1,,4.27,,13.76,30.48,,"108,700","20,970"
"Note: Violent victimization includes rape or sexual assault, robbery, aggravated assault, and simple assault. The U.S. Census Bureau reviewed this data product for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY20-307).",,,,,,,,,,
*Comparison group.,,,,,,,,,,
†Difference with comparison group is significant at the 95% confidence level.,,,,,,,,,,
‡Difference with comparison group is significant at the 90% confidence level.,,,,,,,,,,
a/Standard errors rounded due to disclosure protocols. ,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, Restricted-use data, 2017–19",,,,,,,,,,
