Bureau of Justice Statistics,,,,,,,,,,
Filename: cv22luss1719at02.csv,,,,,,,,,,
"Appendix table 2. Estimates and standard errors for figure 2: Rate of property victimization per 1,000 households in the 22 largest states, 2017–19",,,,,,,,,,
"Report title: Criminal Victimization in the 22 Largest U.S. States, 2017–2019  NCJ 305402",,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Crime Victimization Survey, Restricted-use data, 2017–19",,,,,,,,,,
"Authors: Grace Kena, MPP, and Rachel E. Morgan, PhD, BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 3/6/2023,,,,,,,,,,
 ,,,,,,,,,,
"Appendix table 2. Estimates and standard errors for figure 2: Rate of property victimization per 1,000 households in the 22 largest states, 2017–19",,,,,,,,,,
,,"Rate per 1,000",,,,95% confidence interval,,,Number,
State,,Estimate,,Standard error/a,,Lower bound,Upper bound,,Estimate,Standard error/a
,United States*,105.9,,1.33,,103.3,108.5,,"13,220,000","175,200"
Arizona,,151.5, †,8.5,,134.84,168.16,,"399,700","22,130"
California,,145.9, †,6.88,,132.41,159.39,,"1,962,000","100,600"
Colorado,,161.3, †,8.31,,145.01,177.59,,"370,100","17,850"
Florida,,71.7, †,4.3,,63.32,80.16,,"581,500","40,120"
Georgia,,72.4, †,5.65,,61.29,83.43,,"287,900","21,800"
Illinois,,79.4, †,5.62,,68.41,90.43,,"394,900","27,340"
Indiana,,121.1, †,6.43,,108.49,133.71,,"325,700","17,600"
Maryland,,109.8,,6.62,,96.82,122.78,,"235,900","26,300"
Massachusetts,,78.1, †,4.89,,68.5,87.66,,"212,600","13,670"
Michigan,,74.3, †,5.13,,64.28,84.38,,"300,900","19,350"
Minnesota,,114,,8.02,,98.29,129.71,,"259,300","20,540"
Missouri,,117.6,,11.74,,94.59,140.61,,"295,000","29,780"
New Jersey,,51.5, †,4.14,,43.37,59.59,,"166,400","13,280"
New York,,64.8, †,4.44,,56.13,73.53,,"496,400","34,550"
North Carolina,,63.5, † ,4.46,,54.74,72.24,,"257,900","19,900"
Ohio,,91.8, †,5.61,,80.84,102.84,,"438,100","24,780"
Pennsylvania,,80.5, †,4.46,,71.72,89.22,,"397,400","27,300"
Tennessee,,104.5,,6.68,,91.41,117.59,,"283,200","20,000"
Texas,,117.3, †,5.12,,107.26,127.34,,"1,189,000","56,590"
Virginia,,87, †,5.65,,75.96,98.1,,"286,000","17,230"
Washington,,202.5, †,9.65,,183.59,221.41,,"598,900","29,160"
Wisconsin,,73.9, †,4.44,,65.21,82.59,,"179,600","13,020"
"Note: Property crime includes burglary or trespassing, motor vehicle theft, and other household theft. The U.S. Census Bureau reviewed this data product for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY20-307). ",,,,,,,,,,
*Comparison group.,,,,,,,,,,
†Difference with comparison group is significant at the 95% confidence level.,,,,,,,,,,
a/Standard errors rounded due to disclosure protocols.,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, Restricted-use data, 2017–19.",,,,,,,,,,
