Bureau of Justice Statistics,,,,,,,,,,
Filename: cv22luss1719at03.csv,,,,,,,,,,
"Appendix table 3. Estimates and standard errors for figure 3: Rate of violent victimization excluding simple assault per 1,000 persons age 12 or older in the 22 largest states, 2017–19",,,,,,,,,,
"Report title: Criminal Victimization in the 22 Largest U.S. States, 2017–2019  NCJ 305402",,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Crime Victimization Survey, Restricted-use data, 2017–19",,,,,,,,,,
"Authors: Grace Kena, MPP, and Rachel E. Morgan, PhD, BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 3/6/2023,,,,,,,,,,
 ,,,,,,,,,,
"Appendix table 3. Estimates and standard errors for figure 3: Rate of violent victimization excluding simple assault per 1,000 persons age 12 or older in the 22 largest states, 2017–19",,,,,,,,,,
,,"Rate per 1,000",,,,95% confidence interval,,,Number,
State,,Estimate,,Standard error/a,,Lower bound,Upper bound,,Estimate,Standard error/a
,United States*,7.7,,0.31,,7.13,8.35,,"2,127,000","84,550"
Arizona,,15, †,2.21,,10.62,19.28,,"89,430","12,680"
California,,8.4,,1,,6.39,10.31,,"277,800","33,170"
Colorado,,16.1, †,2.7,,10.77,21.35,,"76,940","12,350"
Florida,,6.1, ‡,0.95,,4.22,7.94,,"110,600","16,770"
Georgia,,4.2, †,0.81,,2.59,5.77,,"36,460","7,000"
Illinois,,8,,1.93,,4.25,11.81,,"86,040","20,190"
Indiana,,9,,1.9,,5.23,12.67,,"49,860","10,650"
Maryland,,5.2, †,1.1,,2.99,7.31,,"26,280","5,670"
Massachusetts,,4.8, †,1.04,,2.71,6.79,,"28,230","6,150"
Michigan,,7,,0.97,,5.06,8.86,,"59,080","7,950"
Minnesota,,7.9,,0.85,,6.24,9.58,,"37,120","3,980"
Missouri,,7,,1.27,,4.53,9.51,,"36,020","6,150"
New Jersey,,1.5, !,0.48,,0.57,2.45,,"11,480","3,620"
New York,,5.5, †,0.89,,3.77,7.25,,"92,460","15,010"
North Carolina,,5.1, ‡,1.37,,2.45,7.83,,"44,840","12,120"
Ohio,,9.6,,1.69,,6.29,12.91,,"94,380","17,010"
Pennsylvania,,7.4,,1.18,,5.11,9.73,,"80,830","13,580"
Tennessee,,9.6,,1.59,,6.49,12.73,,"54,610","9,300"
Texas,,8,,1.06,,5.94,10.1,,"187,200","24,960"
Virginia,,5.7, †,0.78,,4.18,7.24,,"40,960","5,590"
Washington,,13.9, †,2.13,,9.75,18.09,,"88,400","12,260"
Wisconsin,,8.9,,1.98,,5.03,12.79,,"43,780","9,880"
"Note: Violent victimization excluding simple assault includes rape or sexual assault, robbery, and aggravated assault. The U.S. Census Bureau reviewed this data product for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY23-POP001-0020).",,,,,,,,,,
*Comparison group.,,,,,,,,,,
†Difference with comparison group is significant at the 95% confidence level.,,,,,,,,,,
‡Difference with comparison group is significant at the 90% confidence level.,,,,,,,,,,
! Interpret data with caution. Estimate is based on 10 or fewer sample cases or coefficient of variation is greater than 50%.,,,,,,,,,,
a/Standard errors rounded due to disclosure protocols.,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, Restricted-use data, 2017–19.",,,,,,,,,,
