Bureau of Justice Statistics,,
Filename: cv22luss1719at07.csv,,
"Appendix table 7. Population of persons age 12 or older in the 22 largest states, 2017–19",,
"Report title: Criminal Victimization in the 22 Largest U.S. States, 2017–2019  NCJ 305402",,
"Data Source: Bureau of Justice Statistics, National Crime Victimization Survey, Restricted-use data, 2017–19",,
"Authors: Grace Kena, MPP, and Rachel E. Morgan, PhD, BJS Statisticians",,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 3/6/2023,,
 ,,
"Appendix table 7. Population of persons age 12 or older in the 22 largest states, 2017–19",,
State,,Population size
,United States,"274,900,000"
Arizona,,"5,984,000"
California,,"33,270,000"
Colorado,,"4,792,000"
Florida,,"18,210,000"
Georgia,,"8,725,000"
Illinois,,"10,720,000"
Indiana,,"5,572,000"
Maryland,,"5,101,000"
Massachusetts,,"5,940,000"
Michigan,,"8,483,000"
Minnesota,,"4,695,000"
Missouri,,"5,133,000"
New Jersey,,"7,614,000"
New York,,"16,770,000"
North Carolina,,"8,717,000"
Ohio,,"9,827,000"
Pennsylvania,,"10,900,000"
Tennessee,,"5,682,000"
Texas,,"23,330,000"
Virginia,,"7,173,000"
Washington,,"6,349,000"
Wisconsin,,"4,915,000"
Note: The National Crime Victimization Survey (NCVS) population represents persons age 12 or older living in non-institutionalized residential settings in the United States. The U.S. Census Bureau reviewed this data product for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY20-307).,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, Restricted-use data, 2017–19",,
