Bureau of Justice Statistics,,,,,,,
Filename: cv22luss1719f05.csv,,,,,,,
"Figure 5. Percent of violent victimizations reported to police in the 22 largest states, 2017–19",,,,,,,
"Report title: Criminal Victimization in the 22 Largest U.S. States, 2017–2019  NCJ 305402",,,,,,,
"Data Source: Bureau of Justice Statistics, National Crime Victimization Survey, Restricted-use data, 2017–19",,,,,,,
"Authors: Grace Kena, MPP, and Rachel E. Morgan, PhD, BJS Statisticians",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of version: 3/6/2023,,,,,,,
 ,,,,,,,
"Figure 5. Percent of violent victimizations reported to police in the 22 largest states, 2017–19",,,,,,,
,,Percent,,95% confidence interval,,,
State,,Estimate,,Lower bound,,Upper bound,
,United States*,42.8,%,40.13,%,45.39,%
Arizona,,42,,29.33,,54.59,
California,,39.6,,32.03,,47.15,
Colorado,,41.9,,35.54,,48.34,
Florida,,54.8, †,44.67,,64.85,
Georgia,,43.7,,32.86,,54.6,
Illinois,,46.3,,32.76,,59.76,
Indiana,,45.5,,34.47,,56.61,
Maryland,,34.4, ‡,24.9,,43.84,
Massachusetts,,57.9, ‡,40.4,,75.3,
Michigan,,45.2,,37.3,,53.04,
Minnesota,,39.1,,31.22,,46.9,
Missouri,,41.3,,31.42,,51.12,
New Jersey,,41.8,,26.65,,56.89,
New York,,35.3,,23.58,,47.06,
North Carolina,,41.7,,30.69,,52.67,
Ohio,,51.4, ‡,42.07,,60.75,
Pennsylvania,,40.1,,29.4,,50.88,
Tennessee,,41.4,,29.12,,53.76,
Texas,,48.3,,38.26,,58.28,
Virginia,,37.5,,28.28,,46.64,
Washington,,36.2,,27.47,,44.85,
Wisconsin,,33.8, ‡,23.59,,43.91,
"Note: Violent victimization includes rape or sexual assault, robbery, aggravated assault, and simple assault. Estimates include 95% confidence intervals. The U.S. Census Bureau reviewed this data product for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY20-307). See appendix table 5 for standard errors. ",,,,,,,
*Comparison group.,,,,,,,
†Difference with comparison group is significant at the 95% confidence level.,,,,,,,
‡Difference with comparison group is significant at the 90% confidence level.,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, Restricted-use data, 2017-19.",,,,,,,
