Bureau of Justice Statistics,,,,,,,,,,
Filename: cv22luss1719t02.csv,,,,,,,,,,
"Table 2. NCVS household and person response rates, by state, 2017–19",,,,,,,,,,
"Report title: Criminal Victimization in the 22 Largest U.S. States, 2017–2019  NCJ 305402",,,,,,,,,,
"Data Source: U.S. Census Bureau, National Crime Victimization Survey Internal Data, 2017–2019",,,,,,,,,,
"Authors: Grace Kena, MPP, and Rachel E. Morgan, PhD, BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 3/6/2023,,,,,,,,,,
 ,,,,,,,,,,
"Table 2. NCVS household and person response rates, by state, 2017–19",,,,,,,,,,
,,Household,,,,Person,,,,
State,Total sample cases,Eligible households,Household response rate,,,Eligible persons within responding households,Person response rate,,Overall person response rate*,
Arizona,"28,000","22,500",64.4,%,,"28,500",79,%,50.9,%
California,"46,000","41,000",76.8,,,"67,500",81.5,,62.6,
Colorado,"27,000","24,000",66.7,,,"31,500",76.2,,50.8,
Florida,"31,000","24,000",77.1,,,"35,500",87.3,,67.3,
Georgia,"33,000","27,500",76.4,,,"40,000",86.3,,65.9,
Illinois,"24,500","21,000",71.4,,,"29,500",79.7,,56.9,
Indiana,"33,000","28,000",71.4,,,"38,500",76.6,,54.7,
Maryland,"25,000","20,500",65.9,,,"26,500",83,,54.7,
Massachusetts,"18,500","16,000",65.6,,,"21,000",81,,53.1,
Michigan,"29,500","24,000",75,,,"34,000",89.7,,67.3,
Minnesota,"28,000","24,000",77.1,,,"36,000",81.9,,63.2,
Missouri,"31,000","24,500",71.4,,,"32,000",82.8,,59.2,
New Jersey,"22,500","18,500",56.8,,,"22,000",81.8,,46.4,
New York,"28,500","23,500",72.3,,,"32,500",80,,57.9,
North Carolina,"30,500","23,500",80.9,,,"36,000",90.3,,73,
Ohio,"29,000","24,500",71.4,,,"34,000",85.3,,60.9,
Pennsylvania,"30,500","24,000",70.8,,,"33,500",79.1,,56,
Tennessee,"30,500","25,000",76,,,"36,000",86.1,,65.4,
Texas,"37,000","30,500",73.8,,,"45,000",84.4,,62.3,
Virginia,"27,000","23,000",71.7,,,"33,000",80.3,,57.6,
Washington,"28,500","25,500",74.5,,,"39,500",81,,60.4,
Wisconsin,"31,000","26,000",73.1,,,"36,000",84.7,,61.9,
Note: Unweighted counts are rounded according to the U.S. Census Bureau Disclosure Review Board Special Rounding Rules for unweighted numbers. Unweighted rates and percents are calculated based on rounded values. The U.S. Census Bureau reviewed this data product for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY20-307).,,,,,,,,,,
*Overall person response rates are the product of household response and within-household (person) response. ,,,,,,,,,,
"Source: U.S. Census Bureau, National Crime Victimization Survey Internal Data, 2017–2019.",,,,,,,,,,
