Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: cv22luss1719at05.csv,,,,,,,,,,,,,
"Appendix table 5. Estimates and standard errors for figure 5: Percent of violent victimizations reported to police in the 22 largest states, 2017–19",,,,,,,,,,,,,
"Report title: Criminal Victimization in the 22 Largest U.S. States, 2017–2019  NCJ 305402",,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Crime Victimization Survey, Restricted-use data, 2017–19",,,,,,,,,,,,,
"Authors: Grace Kena, MPP, and Rachel E. Morgan, PhD, BJS Statisticians",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 3/6/2023,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Appendix table 5. Estimates and standard errors for figure 5: Percent of violent victimizations reported to police in the 22 largest states, 2017–19",,,,,,,,,,,,,
,,Percent,,,,,95% confidence interval,,,,,Number,
State,,Estimate,,Standard error/a,,,Lower bound,,Upper bound,,,Estimate,Standard error/a
,United States*,42.8,%,1.34,%,,40.13,%,45.39,%,,"2,539,000","90,680"
Arizona,,42,,6.44,,,29.33,,54.59,,,"92,430","19,380"
California,,39.6,,3.86,,,32.03,,47.15,,,"295,200","36,850"
Colorado,,41.9,,3.26,,,35.54,,48.34,,,"90,460","11,750"
Florida,,54.8, †,5.15,,,44.67,,64.85,,,"131,400","20,210"
Georgia,,43.7,,5.55,,,32.86,,54.6,,,"43,680","9,380"
Illinois,,46.3,,6.89,,,32.76,,59.76,,,"98,040","23,690"
Indiana,,45.5,,5.65,,,34.47,,56.61,,,"69,760","11,820"
Maryland,,34.4, ‡,4.83,,,24.9,,43.84,,,"36,920","8,530"
Massachusetts,,57.9, ‡,8.9,,,40.4,,75.3,,,"70,290","25,620"
Michigan,,45.2,,4.02,,,37.3,,53.04,,,"80,730","12,750"
Minnesota,,39.1,,4,,,31.22,,46.9,,,"38,140","4,750"
Missouri,,41.3,,5.03,,,31.42,,51.12,,,"45,580","6,540"
New Jersey,,41.8,,7.71,,,26.65,,56.89,,,"24,580","6,110"
New York,,35.3,,5.99,,,23.58,,47.06,,,"92,710","21,130"
North Carolina,,41.7,,5.61,,,30.69,,52.67,,,"48,360","6,810"
Ohio,,51.4, ‡,4.77,,,42.07,,60.75,,,"119,400","16,670"
Pennsylvania,,40.1,,5.48,,,29.4,,50.88,,,"95,520","13,390"
Tennessee,,41.4,,6.29,,,29.12,,53.76,,,"59,870","13,320"
Texas,,48.3,,5.11,,,38.26,,58.28,,,"205,800","29,520"
Virginia,,37.5,,4.68,,,28.28,,46.64,,,"41,290","4,820"
Washington,,36.2,,4.43,,,27.47,,44.85,,,"84,420","10,590"
Wisconsin,,33.8, ‡,5.18,,,23.59,,43.91,,,"36,700","6,050"
"Note: Violent victimization includes rape or sexual assault, robbery, aggravated assault, and simple assault. The U.S. Census Bureau reviewed this data product for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY20-307).",,,,,,,,,,,,,
*Comparison group.,,,,,,,,,,,,,
†Difference with comparison group is significant at the 95% confidence level.,,,,,,,,,,,,,
‡Difference with comparison group is significant at the 90% confidence level.,,,,,,,,,,,,,
a/Standard errors rounded due to disclosure protocols.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, Restricted-use data, 2017–19.",,,,,,,,,,,,,
