Bureau of Justice Statistics,,
Filename: cv22luss1719at08.csv,,
"Appendix table 8. Population of households in the 22 largest states, 2017–19",,
"Report title: Criminal Victimization in the 22 Largest U.S. States, 2017–2019  NCJ 305402",,
"Data Source: Bureau of Justice Statistics, National Crime Victimization Survey, Restricted-use data, 2017–19",,
"Authors: Grace Kena, MPP, and Rachel E. Morgan, PhD, BJS Statisticians",,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 3/6/2023,,
 ,,
"Appendix table 8. Population of households in the 22 largest states, 2017–19",,
State,,Number of households
,United States,"124,800,000"
Arizona,,"2,639,000"
California,,"13,450,000"
Colorado,,"2,295,000"
Florida,,"8,106,000"
Georgia,,"3,979,000"
Illinois,,"4,972,000"
Indiana,,"2,689,000"
Maryland,,"2,148,000"
Massachusetts,,"2,723,000"
Michigan,,"4,048,000"
Minnesota,,"2,275,000"
Missouri,,"2,508,000"
New Jersey,,"3,231,000"
New York,,"7,658,000"
North Carolina,,"4,063,000"
Ohio,,"4,770,000"
Pennsylvania,,"4,938,000"
Tennessee,,"2,710,000"
Texas,,"10,140,000"
Virginia,,"3,286,000"
Washington,,"2,957,000"
Wisconsin,,"2,431,000"
Note: The U.S. Census Bureau reviewed this data product for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY20-307).,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, Restricted-use data, 2017–19",,
